Year,player_name,last_name,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2014,"Wales, Eric",Wales, Eric,BUR,BUR,T,20,13,25,38,6,2,6,0,2
2014,"Wilkinson, Jake",Wilkinson, Jake,TOR,TOR,T,19,6,32,38,8,1,1,1,2
2014,"Bridle, Dallas",Bridle, Dallas,ORA,ORA,T,13,15,22,37,45,2,4,0,1
2014,"Clelland, Brandon",Clelland, Brandon,ORA,ORA,T,20,17,18,35,12,0,1,0,1
2014,"Bianchin, Gianni",Bianchin, Gianni,BUR,BUR,T,17,18,16,34,4,5,4,1,0
2014,"Ferreira, Tyler",Ferreira, Tyler,BRA,BRA,F,19,14,19,33,23,1,1,1,1
2014,"Carvalho, Ty",Carvalho, Ty,SCA,SCA,A,18,13,19,32,2,2,2,0,0
2014,"Huggins, Justin",Huggins, Justin,TOR,TOR,O,18,18,13,31,6,1,1,0,0
2014,"Wittig, Jeff",Wittig, Jeff,SCA,SCA,F,19,8,22,30,5,2,5,0,0
2014,"Martin, Ian",Martin, Ian,SNA,SNA,O,11,8,21,29,0,2,4,0,0
2014,"Neal, Davis",Neal, Davis,ORA,ORA,O,11,10,19,29,2,5,4,0,0
2014,"Lane, Austin",Lane, Austin,BLS,BLS,F,12,9,19,28,21,0,1,0,0
2014,"Sheehan, Charlie",Sheehan, Charlie,SCA,SCA,,17,15,13,28,14,1,0,0,0
2014,"Currier, Zac",Currier, Zac,PET,PET,T,13,14,12,26,47,1,0,1,1
2014,"Killen, Kyle",Killen, Kyle,PET,PET,O,19,13,13,26,38,0,1,1,0
2014,"McClure, Zack",McClure, Zack,KWE,KWE,O,12,11,15,26,2,4,5,0,0
2014,"McMahon, Jamie",McMahon, Jamie,ORA,ORA,T,16,7,19,26,4,0,5,0,0
2014,"Tinney, Joel",Tinney, Joel,KWE,KWE,F,10,11,15,26,12,1,4,1,1
2014,"Cole, Connor",Cole, Connor,KWE,KWE,T,20,15,10,25,10,0,1,2,2
2014,"Karam, Nick",Karam, Nick,WHI,WHI,O,14,9,16,25,9,0,0,0,0
2014,"Robertson, Jordan",Robertson, Jordan,TOR,TOR,O,11,10,14,24,25,1,2,0,0
2014,"Sellars, Connor",Sellars, Connor,BRA,BRA,F,20,10,14,24,10,0,1,2,1
