Year,player_name,last_name,last_name_year,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists,
2019,"Petite, Noah",Petite,"Petite, 2019", Noah,PET,PET,,7,1,4,5,2,0,0,0,0,
2019,"Saunders, Jacob",Saunders,"Saunders, 2019", Jacob,BUR,BUR,,13,1,4,5,20,0,1,0,0,
2019,"Skidders, Isaiah",Skidders,"Skidders, 2019", Isaiah,SNA,SNA,,3,1,4,5,0,0,0,0,0,
2019,"Somers AP, Brad",Somers AP,"Somers AP, 2019", Brad,OAK,OAK,,6,1,4,5,2,0,0,0,0,
2019,"Swanton, Logan",Swanton,"Swanton, 2019", Logan,ORA,ORA,,14,2,3,5,2,0,0,0,0,
2019,"Sykes, Matthew",Sykes,"Sykes, 2019", Matthew,MIM,MIM,,9,1,4,5,21,0,1,0,0,
2019,"Thompson (AP), Ty",Thompson (AP),"Thompson (AP), 2019", Ty,ORA,ORA,,2,3,2,5,0,0,1,0,0,
2019,"Thompson, Josh",Thompson,"Thompson, 2019", Josh,BRA,BRA,,20,1,4,5,8,0,0,0,0,
2019,"Thomson AP, Finlay",Thomson AP,"Thomson AP, 2019", Finlay,MIM,MIM,,4,2,3,5,2,1,1,0,0,
2019,"Walker, Brayden",Walker,"Walker, 2019", Brayden,KWE,KWE,,9,3,2,5,0,0,0,0,0,
2019,"(AP) Dooley, Taylor",(AP) Dooley,"(AP) Dooley, 2019", Taylor,TOR,TOR,,18,3,1,4,14,0,0,0,0,
2019,"Anderson, David",Anderson,"Anderson, 2019", David,TOR,TOR,,4,3,1,4,0,0,0,0,1,
2019,"Barnes, Rowisonkies",Barnes,"Barnes, 2019", Rowisonkies,PET,PET,,4,0,4,4,0,0,1,0,1,
2019,"Bolger, Dawson",Bolger,"Bolger, 2019", Dawson,KWE,KWE,,6,1,3,4,0,0,0,0,0,
2019,"Bomberry, Davin",Bomberry,"Bomberry, 2019", Davin,SNA,SNA,,4,0,4,4,2,0,0,0,0,
2019,"Bushey, Jayden",Bushey,"Bushey, 2019", Jayden,PET,PET,,7,0,4,4,0,0,1,0,0,
2019,"Crowley, Kevin",Crowley,"Crowley, 2019", Kevin,MIM,MIM,,9,0,4,4,0,0,0,0,0,
2019,"Erskine, Brett",Erskine,"Erskine, 2019", Brett,SCA,SCA,,2,1,3,4,0,0,2,0,0,
2019,"Jackman, Michael",Jackman,"Jackman, 2019", Michael,OAK,OAK,,19,1,3,4,14,0,0,0,0,
2019,"Janse, Gage",Janse,"Janse, 2019", Gage,BLS,BLS,,11,0,4,4,6,0,0,0,0,
2019,"Kangas, Charlie",Kangas,"Kangas, 2019", Charlie,PET,PET,,6,0,4,4,4,0,0,0,0,
2019,"McKenzie, Carter",McKenzie,"McKenzie, 2019", Carter,KWE,KWE,,5,3,1,4,0,0,0,1,0,
2019,"Medeiros, Jordan",Medeiros,"Medeiros, 2019", Jordan,BRA,BRA,,19,0,4,4,22,0,0,0,1,
2019,"Mikulik, Ty",Mikulik,"Mikulik, 2019", Ty,ORA,ORA,,19,0,4,4,27,0,0,0,0,
2019,"Snider, Lucas",Snider,"Snider, 2019", Lucas,KWE,KWE,,10,2,2,4,19,0,1,0,0,
2019,"Thistlethwaite, Adam",Thistlethwaite,"Thistlethwaite, 2019", Adam,PET,PET,,16,2,2,4,4,0,0,0,0,
2019,"Utrosa, Ben",Utrosa,"Utrosa, 2019", Ben,WHI,WHI,,17,2,2,4,18,0,0,0,0,
