Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"James, Dylan",James, Dylan,PET,,3,0,13,13,0,0,1,0,0
2019,"Jones, Callum",Jones, Callum,BUR,,18,2,11,13,35,0,1,0,3
2019,"Thomson, Keaton",Thomson, Keaton,MIM,,18,5,8,13,4,0,0,0,0
2019,"Conley, Curtis",Conley, Curtis,TOR,,20,5,7,12,20,0,0,1,1
2019,"Dawick, Josh",Dawick, Josh,WHI,,4,5,7,12,2,0,1,2,0
2019,"Halls, Tyler",Halls, Tyler,ORA,,20,6,6,12,2,0,0,1,0
2019,"Leclair, Liam",Leclair, Liam,SNA,,20,4,8,12,14,1,0,0,0
2019,"McGreggor, Brayden",McGreggor, Brayden,PET,,16,4,8,12,7,0,0,0,0
2019,"Pratt, Dustyn",Pratt, Dustyn,ORA,,20,5,7,12,24,0,0,2,0
2019,"X Borgatti, Andrew",X Borgatti, Andrew,KWE,,20,6,6,12,30,0,0,2,0
2019,"Brown, Travis",Brown, Travis,ORA,,19,1,10,11,17,0,0,0,0
2019,"Cresswell, Braydon",Cresswell, Braydon,MIM,,9,7,4,11,35,2,0,0,0
2019,"Davis, Tyler",Davis, Tyler,SNA,,7,2,9,11,6,0,1,0,0
2019,"Dilks, Jamie",Dilks, Jamie,SNA,,20,3,8,11,2,0,0,1,0
2019,"Fannell, Bradley",Fannell, Bradley,SCA,,20,6,5,11,18,0,0,1,0
2019,"Fiegehen, Mike",Fiegehen, Mike,ORA,,6,4,7,11,0,0,0,0,0
2019,"Halliwell, Shane",Halliwell, Shane,KWE,,16,6,5,11,16,0,1,0,0
2019,"McKenna, Jordan",McKenna, Jordan,ORA,,15,2,9,11,0,0,0,0,0
2019,"Moyer, Carson",Moyer, Carson,BLS,,9,4,7,11,4,0,1,0,0
2019,"Trumble, Ben",Trumble, Ben,BLS,,17,2,9,11,17,0,0,0,0
2019,"Whitty, Tom",Whitty, Tom,SCA,,20,1,10,11,16,0,0,0,0
2019,"X Cole, Tanner",X Cole, Tanner,KWE,,10,3,8,11,0,1,0,0,1
2019,"Yarranton, Max",Yarranton, Max,BRA,,21,6,5,11,2,0,0,0,0
