PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
TAYLOR DOOLEY,Toronto Beaches,D,19,3,9,12,23,1,2,1,0
PEYTIN WALLACE,Whitby Warriors,D,19,0,12,12,38,0,0,0,2
OWEN VANLOON,Six Nations Arrows,T,12,7,4,11,20,1,1,0,1
ZANE DALPE,Kitchener-Waterloo,–,3,6,5,11,0,2,0,0,0
ALEXIS SIMARD,Burlington Chiefs,T,19,5,6,11,39,0,1,0,1
TY MYERS,Six Nations Arrows,"D, F",7,3,8,11,2,1,2,0,0
LIAM KEANE,Brampton Excelsiors,F,12,5,5,10,4,0,2,0,0
MATT HAMILL,Six Nations Arrows,"F, T",15,5,5,10,2,0,0,1,0
JAKE WRIGHT,Oakville Buzz,F,10,4,6,10,14,0,4,1,0
HUDSON THOMPSON,Mimico Mountaineers,F,19,3,7,10,24,1,2,0,0
MASON TARDIFF,Peterborough Lakers,F,8,2,8,10,2,1,3,0,0
BRENDAN ANDERSON,Six Nations Arrows,F,4,6,3,9,16,1,1,0,0
DAVID PETERKIN,Toronto Beaches,F,14,6,3,9,8,1,0,0,0
JOSH FAIREY,Toronto Beaches,D,16,5,4,9,8,0,0,0,1
OWEN RAHN,Orangeville Northmen,T,17,4,5,9,35,0,1,1,0
NATE RUFF,Orangeville Northmen,T,19,4,5,9,8,1,0,0,0
LUCAS FERREIRA,Oakville Buzz,F,8,3,6,9,4,0,1,0,0
NICHOLAS VOLKOV,Burlington Chiefs,T,16,2,7,9,47,0,0,0,0
ADAM THISTLETHWAITE,Peterborough Lakers,T,16,2,7,9,24,1,2,0,2
MATTHEW VILAS,Oakville Buzz,T,17,2,7,9,2,1,1,0,0
NATHAN POULIOT,Toronto Beaches,–,3,1,8,9,2,0,0,0,0
JACK PAROLIN,Toronto Beaches,D,12,1,8,9,2,0,0,0,0
PEYTON MCINTOSH,St. Catharines Athletics,D,19,1,8,9,12,0,2,0,1
SAM DRAMITZKE,Kitchener-Waterloo,–,4,5,3,8,0,1,1,0,2
ANDREW DALTON,Toronto Beaches,T,9,5,3,8,13,0,0,0,0
TOM COLLINS,Peterborough Lakers,T,15,5,3,8,24,3,0,0,0
JUSTIN PORGA,St. Catharines Athletics,F,2,4,4,8,0,1,0,1,4
ZACH COULMAN,Oakville Buzz,D,18,4,4,8,36,1,2,0,1
NATHAN POULIOT,Toronto Beaches,–,5,3,5,8,2,0,0,0,0
KAELEN SMITH,Kitchener-Waterloo,–,5,3,5,8,0,0,2,0,0
CODY MERRITT,Brampton Excelsiors,F,10,3,5,8,0,0,0,1,0
NATHAN FEHR,St. Catharines Athletics,D,18,3,5,8,16,1,0,0,0
KAELEN SMITH,St. Catharines Athletics,"D, F",6,2,6,8,7,0,0,0,3
JULIAN RACE,St. Catharines Athletics,D,14,2,6,8,4,0,1,1,0
DAMON DECAIRE,Six Nations Arrows,F,4,1,7,8,2,0,1,0,1
LIAM FERRIS,Mimico Mountaineers,T,17,1,7,8,32,0,2,0,3
JEREMI PHOENIX-LEFEBVRE,Toronto Beaches,–,19,1,7,8,20,0,1,0,1
AUSTIN LAMOUREUX,Peterborough Lakers,F,2,3,4,7,0,2,2,0,2
JACK FOLLOWS,Oakville Buzz,D,12,3,4,7,2,0,0,0,1
JACK MCALPINE,Oakville Buzz,F,5,2,5,7,0,0,0,0,0
MASON SANDEN,Six Nations Arrows,T,14,2,5,7,8,0,0,2,0
HOLDEN LOWES,Peterborough Lakers,D,19,2,5,7,2,0,1,0,0
KADEN KUBLINSKAS,Kitchener-Waterloo,–,17,1,6,7,6,0,0,1,0
COOPER JACKSON,Burlington Chiefs,T,18,1,6,7,6,0,2,1,1
COLIN MATTHEWS,Burlington Chiefs,–,14,4,2,6,2,1,0,0,0
BEN MACDONNELL,Whitby Warriors,D,17,3,3,6,24,0,1,0,0
ELIJAH EDWARDS,Orangeville Northmen,T,19,2,4,6,29,0,1,1,0
CARSON ROBINS,St. Catharines Athletics,F,7,1,5,6,0,0,0,0,0
CAMERON PACK,St. Catharines Athletics,D,9,1,5,6,16,0,0,0,0
ANDREW VRADENBURG,Burlington Chiefs,T,20,1,5,6,17,0,0,0,0
OWEN DALE,Kitchener-Waterloo,–,18,0,6,6,40,0,1,0,1
DONNY SCOTT,Orangeville Northmen,D,14,4,1,5,19,0,0,0,0
CHRIS DONG,Oakville Buzz,T,20,3,2,5,4,0,0,0,1
ROBBIE MCGRAYNE,Peterborough Lakers,–,1,2,3,5,0,1,1,0,1
TYSON ALLISON,Burlington Chiefs,–,4,2,3,5,2,0,2,0,1
RILEY SIMPSON,Peterborough Lakers,D,7,2,3,5,2,0,0,0,0
LUCAS OSBORNE,Peterborough Lakers,D,13,2,3,5,2,0,0,0,0
XANDER DERKATZ,Oakville Buzz,F,4,1,4,5,4,1,1,0,0
EDDY FERREDE,Kitchener-Waterloo,–,17,1,4,5,16,0,0,0,0
KEAN PARE,Six Nations Arrows,D,18,1,4,5,23,1,1,0,0
AARON TOGURI,Mimico Mountaineers,D,20,1,4,5,36,0,0,0,0
REED ALLEN,Burlington Chiefs,–,3,0,5,5,0,0,0,0,0
JADEN CIAPPARA,Orangeville Northmen,T,12,0,5,5,2,0,0,0,0
PHOENIX PULLEN,Brampton Excelsiors,T,20,0,5,5,37,0,2,0,1
NICHOLAS ROODE,Peterborough Lakers,F,1,3,1,4,0,2,0,1,0
WILL MCLEOD,Burlington Chiefs,–,1,3,1,4,0,1,0,1,0
CAMERON STERRITT,Brampton Excelsiors,F,2,3,1,4,0,1,0,0,1
CHRIS DASILVA,Brampton Excelsiors,F,4,3,1,4,0,0,0,0,0
JUSTIN TAVARES AP,Mimico Mountaineers,T,5,3,1,4,0,0,0,1,0
LIAM MACKAY,Toronto Beaches,–,17,3,1,4,29,1,0,0,0
TREYSEN STEWART,Whitby Warriors,F,3,2,2,4,4,0,0,0,0
COLM BARNETT,Orangeville Northmen,T,6,2,2,4,2,0,0,0,0
REECE DICICCO,Peterborough Lakers,–,8,2,2,4,6,1,1,0,0
NICK THOMAS,Kitchener-Waterloo,–,9,2,2,4,16,0,0,0,0
MICHAEL JACKMAN,Oakville Buzz,D,13,2,2,4,51,1,2,0,0
LIAM STADNYK,Orangeville Northmen,D,16,2,2,4,0,0,0,1,0
JACOB MCLEAN,Peterborough Lakers,–,1,1,3,4,0,1,2,0,0
ALEX HICKS,Kitchener-Waterloo,–,4,1,3,4,0,0,0,0,0
ISSAC PRANTERA,St. Catharines Athletics,D,11,1,3,4,8,1,0,0,1
ASHTON LANKOWSKI,Kitchener-Waterloo,–,17,1,3,4,0,1,1,0,2
TY CARTY,Brampton Excelsiors,D,20,1,3,4,9,0,1,0,2
GORDIE POWER,Burlington Chiefs,–,2,0,4,4,2,0,2,0,0
PEYTON DRONE,Peterborough Lakers,F,2,0,4,4,0,0,1,0,1
AVERY STEINBACH-PARKER,Six Nations Arrows,F,7,0,4,4,0,0,3,0,0
HADOWAS SMITH,Six Nations Arrows,T,14,0,4,4,17,0,0,0,1
HAYDEN THOMSON,Oakville Buzz,D,15,0,4,4,8,0,0,0,1
CURTIS WARD,Brampton Excelsiors,F,5,3,0,3,0,1,0,0,0
ADAM ROSS,St. Catharines Athletics,F,1,2,1,3,0,0,0,0,0
COLTON ARMITAGE,St. Catharines Athletics,F,1,2,1,3,2,0,0,1,1
HUNTER LUBINIECKI,Peterborough Lakers,"D, F",2,2,1,3,0,0,1,0,0
KYLER FRANCIS,Kitchener-Waterloo,–,2,2,1,3,2,0,0,0,0
MATT WRIGHT,Mimico Mountaineers,–,2,2,1,3,2,0,0,1,0
GEORGE PITT,Burlington Chiefs,F,2,2,1,3,0,0,0,1,0
KAZ NIZIELSKI,Kitchener-Waterloo,–,12,2,1,3,12,0,0,2,0
MITCHELL ARMSTRONG,St. Catharines Athletics,D,12,2,1,3,23,0,0,0,1
JOHN WHEELER,Whitby Warriors,D,12,2,1,3,7,0,0,0,0
LOUIS ALFRED,Six Nations Arrows,D,16,2,1,3,63,0,0,0,1
MAVRYK GATT,St. Catharines Athletics,F,1,1,2,3,2,0,0,0,0
NOLAN BARKER,Kitchener-Waterloo,–,2,1,2,3,0,0,0,0,0
JAMES DONNELLY,Peterborough Lakers,D,2,1,2,3,0,0,1,1,1
CHRISTIAN LEFEUVRE,St. Catharines Athletics,F,2,1,2,3,0,0,1,0,0
BRAEDEN LOCKYER,Oakville Buzz,F,2,1,2,3,2,0,1,0,0
TREYTON WEINSTEIN,Kitchener-Waterloo,F,3,1,2,3,0,0,0,0,0
