PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
MASON SANDEN,Six Nations Arrows,9,T,12,2,4,6,0,0,2,0,8,0
HOLDEN LOWES,Peterborough Lakers,4,D,18,2,4,6,0,0,0,0,2,0
ELIJAH EDWARDS,Orangeville Northmen,13,T,18,2,4,6,0,1,1,0,29,0
ROBBIE MCGRAYNE,Peterborough Lakers,5,–,1,2,3,5,1,1,0,1,0,0
TYSON ALLISON,Burlington Chiefs,"12, 6, 8",–,3,2,3,5,0,2,0,1,0,0
RILEY SIMPSON,Peterborough Lakers,"26, 3",D,6,2,3,5,0,0,0,0,2,0
BRENDAN ANDERSON,Six Nations Arrows,83,F,2,2,2,4,0,1,0,0,14,0
TREYSEN STEWART,Whitby Warriors,15,F,3,2,2,4,0,0,0,0,4,0
COLM BARNETT,Orangeville Northmen,15,T,6,2,2,4,0,0,0,0,2,0
REECE DICICCO,Peterborough Lakers,"20, 28, 3",–,8,2,2,4,1,1,0,0,6,0
NICK THOMAS,Kitchener-Waterloo,28,–,9,2,2,4,0,0,0,0,16,0
MICHAEL JACKMAN,Oakville Buzz,19,D,12,2,2,4,1,2,0,0,49,0
LIAM STADNYK,Orangeville Northmen,11,D,16,2,2,4,0,0,1,0,0,0
ADAM ROSS,St. Catharines Athletics,50,F,1,2,1,3,0,0,0,0,0,0
COLTON ARMITAGE,St. Catharines Athletics,41,F,1,2,1,3,0,0,1,1,2,0
KYLER FRANCIS,Kitchener-Waterloo,"25, 5",–,2,2,1,3,0,0,0,0,2,0
MATT WRIGHT,Mimico Mountaineers,13,–,2,2,1,3,0,0,1,0,2,0
HUNTER LUBINIECKI,Peterborough Lakers,5,"D, F",2,2,1,3,0,1,0,0,0,0
MITCHELL ARMSTRONG,St. Catharines Athletics,6,D,11,2,1,3,0,0,0,1,21,0
KAZ NIZIELSKI,Kitchener-Waterloo,"17, 6",–,12,2,1,3,0,0,2,0,12,0
LOUIS ALFRED,Six Nations Arrows,14,D,14,2,1,3,0,0,0,1,46,0
MARCUS KELEHER,Oakville Buzz,17,F,1,2,0,2,0,0,0,0,0,0
CAM ESSENSA AP,Mimico Mountaineers,25,–,1,2,0,2,0,0,1,0,0,0
SHAKORENNAWIS SWAMP,Six Nations Arrows,"2, 72",F,2,2,0,2,1,0,0,0,2,0
DANIEL MAY,Toronto Beaches,16,D,6,2,0,2,1,0,0,0,8,0
COLE HUNSBERGER ,Kitchener-Waterloo,"10, 17, 23, 24, 26, 45",F,7,2,0,2,0,0,0,0,6,0
TYLER GRANDEL,Peterborough Lakers,16,D,16,2,0,2,0,0,0,0,20,0
LIAM STEELE,Brampton Excelsiors,4,D,18,2,0,2,1,0,0,0,22,0
NATHAN POULIOT,Toronto Beaches,6,–,3,1,8,9,0,0,0,0,2,0
JACK PAROLIN,Toronto Beaches,10,D,12,1,8,9,0,0,0,0,2,0
DAMON DECAIRE,Six Nations Arrows,10,F,4,1,7,8,0,1,0,1,2,0
LIAM FERRIS,Mimico Mountaineers,45,T,16,1,7,8,0,2,0,3,32,0
